"","X","police_department","driver_race","num_stops","num_searches","num_hits","search_rate","hit_rate","thresholds","total_stops"
"306",811,"Rusk County","Asian",897,13,1,0.0144927536231884,0.0769230769230769,0.221463942182083,132790
"307",812,"Rusk County","Black",25783,1114,414,0.0432067641469185,0.371633752244165,0.241360184431736,132790
"308",813,"Rusk County","Hispanic",14536,650,171,0.044716565767749,0.263076923076923,0.133628017741283,132790
"309",814,"Rusk County","White",91574,2514,896,0.0274532072422303,0.356404136833731,0.213837574386713,132790
"310",820,"San Jacinto County","Asian",1183,7,1,0.00591715976331361,0.142857142857143,0.232776694800046,107666
"311",821,"San Jacinto County","Black",18381,488,204,0.0265491540177357,0.418032786885246,0.26422413927426,107666
"312",822,"San Jacinto County","Hispanic",10860,210,52,0.0193370165745856,0.247619047619048,0.190251512371598,107666
"313",824,"San Jacinto County","White",77242,965,362,0.0124932031796173,0.375129533678756,0.261832607060376,107666
"314",825,"San Patricio County","Black",6761,82,28,0.0121283833752403,0.341463414634146,0.224569288706751,164524
"315",826,"San Patricio County","Hispanic",80193,1034,204,0.0128938934819747,0.197292069632495,0.146496928895822,164524
"316",827,"San Patricio County","White",77570,701,176,0.00903699883975764,0.251069900142653,0.182449518383525,164524
"317",849,"Smith County","Asian",3411,45,9,0.0131926121372032,0.2,0.184519203326587,313583
"318",850,"Smith County","Black",70120,3371,934,0.0480747290359384,0.277069118955799,0.189310430148544,313583
"319",851,"Smith County","Hispanic",32634,1493,353,0.0457498314641172,0.236436704621567,0.111239383340859,313583
"320",853,"Smith County","White",207418,4734,1477,0.0228234772295558,0.311998310097169,0.192272884296947,313583
"321",857,"Starr County","Black",1135,42,3,0.0370044052863436,0.0714285714285714,0.124248513516123,303330
"322",858,"Starr County","Hispanic",265397,6470,813,0.0243785724782119,0.125656877897991,0.0854395249024427,303330
"323",860,"Starr County","White",36798,1087,111,0.0295396488939616,0.102115915363385,0.0909134967281201,303330
